編號,原文,臺灣用語,大陸用語,其他用語,
108,nanowatt electronics,毫微瓦功率電子學,,,
109,nanowatt integrated circuit,毫微瓦積體電路,,,
110,nanowatt	,毫微瓦（特）,,,
111,narcotics and dangerous drugs information system	,麻醉品和劇毒藥物資訊系統,,,
112,narrative,敘述式（數據通信的消息格式之一）；記事文,,,
113,narrative address,敘述性位址,,,
114,narrative capability,敘述性能力,,,
115,narrative format,敘述性格式,,,
116,narrative message,敘述訊息,,,
117,narrative output vocabulary edition language	,敘述性輸出詞彙編輯語言,,,
118,narrative traffic,敘述性交通,,,
119,narrow band allocation	,窄（頻）帶分配,,,
120,narrow band channel,窄頻通道,,,
121,narrow band communication system,窄頻帶通信系統,,,
122,narrow band data line,窄頻帶資料線路,,,
123,narrow band data link,窄頻帶資料鏈路,,,
124,narrow band filter,窄頻帶濾波器,,,
125,narrow band frequency modulation	,窄帶調頻,,,
126,narrow band line,窄帶線,,,
127,narrow band link,窄帶鏈路,,,
128,narrow band phase modulation	,窄帶相位調變,,,
129,narrow band signal,窄帶信號,,,
130,narrow band transmission,窄帶傳輸,,,
131,narrow band	,窄頻帶；窄帶,,,
132,narrow casting,精算,,,
133,narrow channel,窄通道,,,
134,narrow frequency band	,窄頻帶,,,
135,narrow line,窄線,,,
136,n-ary,n元,N-元 ,,
137,n-ary Boolean operation,n元布林運算,,,
138,n-ary code,n元碼,,,
139,n-ary compact code,n元進緊密碼,,,
140,n-ary digital signal,n元數位信號,,,
141,n-ary function,n元函數,,,
142,n-ary number system,n元數字系統,,,
143,n-ary predicate,n元述詞,,,
144,n-ary relation,n元關係,,,
145,n-ary relationship,n元關係,,,
146,n-ary tree,n 叉樹,n 叉樹 ,,
147,NASA communications operating procedures	,美國太空總署通信操作程序,,,
148,NASA data processing facility	,美國太空總署資料處理設施,,,
149,NASA end to end data system	,美國太空總署端－端資料系統,,,
150,NASA energy cost analysis program	,NASA能源價格分析程式,,,
151,NASA structural analysis	,美國太空總署結構分析,,,
152,NASA worldwide communications network	,美國太空總署世界通信網路,,,
153,Nassi-Shneiderman chart,Nassi-Shneiderman圖；結構化流程圖,,,
154,nat,奈特；信息量自然單位,,,
155,national academy of sciences	,國家科學院（美國）,,,
156,national aeronautics and space administration	,美國太空總署,,,
157,national aerospace and electronics conference,全國航空與電子學會議,,,
158,national aerospace and electronics conference	,全國航空與電子學會議,,,
159,national alliance of TV and electronic service association	,全國電視及電子服務協會,,,
160,national association,全國協會,,,
161,national association for state information system	,全國州立資訊系統協會,,,
162,national association of accountants	,全國會計師協會,,,
163,national association of computerized tax processor	,全國計算機化稅務處理機協會,,,
164,national association of independent computer company	,全國獨立計算機公司協會,,,
165,national association of radio and TV broadcasters	,全國無線電及電視廣播員協會,,,
166,national association of securities dealers	,全國證券交易商協會,,,
167,national association of users of computer applied	,全國計算機輔助學習用戶協會,,,
168,national automated clearing house association	,全國自動票據交換所協會,,,
169,national automatic controls conference	,全國自動控制會議,,,
170,national bureau of standards	,國家標準局；中央標準局,,,
171,national cable television association	,（美國）全國電纜電視協會,,,
172,national cash register electronic autocoding technique	,NCR電子自動寫碼術,,,
173,national characters,國家特有字元,,,
174,national civil defense computer facility	,國家民防計算機設施,,,
175,national commission on electronic funds transfer	,國家電子基金轉撥委員會,,,
176,national committee on computer network	,英國國家計算機網路委員會,,,
177,national committee on radiological protection	,國家幅射防護委員會,,,
178,national communication center	,國家通信中心,,,
179,national communications,國家通信,,,
180,national communications association	,全國通信協會,,,
181,national communications committee	,國家通信員委員會,,,
182,national communications forum	,全國通信討論會,,,
183,national communications information plan,國家通信資訊計畫,,,
184,national communications schedule,國家通信時程,,,
185,national communications system	,國家通信系統,,,
186,national computer center	,國家計算機中心,,,
187,national computer conference	,全國計算機會議,,,
188,national computer network,國家計算機網路,,,
189,national computer network of Britain	,英國計算機網,,,
190,national computer program abstract service	,國家計算機程式摘要服務,,,
191,national computer program index	,國家計算機程式索引,,,
192,national computer users forum	,全國計算機用戶討論會,,,
193,national crime information,美國國家犯罪資訊,,,
194,national crime information center	,國家犯罪資訊中心,,,
195,national crime information system	,國家犯罪資訊系統,,,
196,national data manager users group	,全國資料經理用戶群,,,
197,national data processing service	,國家資料處理服務,,,
198,national defense advisory committee	,國防諮詢委員會,,,
199,national defense communication control center	,國防通信控制中心,,,
200,national destination code,國家目的地代碼,,,
201,national driver register system	,國家駕駛員註冊系統,,,
202,national electric code	,（美國）國家電氣規程（線路和設備的架設和安裝）,,,
203,national electrical code standards	,國家電氣法規標準,,,
204,national electrical manufacturers association	,全國電氣製造商協會,,,
205,national electrical safety code	,國家電氣安全法規,,,
206,national electronic association	,全國電子協會,,,
207,national electronic facilities organization	,全國電子設施組織,,,
208,national electronics conference	,全國電子學會議,,,
209,national electronics council	,國家電子學委員會,,,
210,national electronics distributors association	,全國電子產品經銷商協會,,,
211,national energy information center	,全國能源資訊中心,,,
212,national engineers association	,全國工程師協會,,,
213,national federation of abstracting and indexing service	,全國文摘與索引服務聯合會,,,
214,national flight data center	,全國飛行資料中心,,,
215,national guard computer center	,國家防衛計算機中心（美國）,,,
216,national industrial BASIC language	,國家工業BASIC語言；國家工業培基語言,,,
217,national information and analysis center	,國家資訊與分析中心,,,
218,national information control center	,國家資訊控制中心,,,
219,national information infrastructure,國家資訊基礎建設,國家信息基礎設施 ,,
220,national information network	,國家資訊網路,,,
221,national information processing system	,國家資訊處理系統,,,
222,national information research institute	,國家資訊研究所,,,
223,national information storage and retrieval center	,全國資訊儲存與檢索中心,,,
224,national information system for science & technology	,國家科技資訊系統,,,
225,national information system	,國家資訊系統,,,
226,national institute of hardware	,國家硬體研究所,,,
227,national institute of science and technology	,國家科學技術學會,,,
228,national institute of standards and technology	,全國學會的標準及技術,,,
229,national joint computers committee	,全國計算機聯合委員會,,,
230,national language,國家語言,,,
231,national language support,國家語言支援,民族語言支撐能力 ,,
232,national machine accountants association	,全國機器會計師協會,,,
233,national microfilm association	,全國微縮膠卷協會,,,
234,national network,國家網路,,,
235,national newspaper index,全國報紙索引,,,
236,national office management association	,全國辦公管理協會,,,
237,national public switched telecommunications network	,國家公用交換電信網路,,,
238,national requirements,全國需求,,,
239,national requirements feature,全國需求特徵,,,
240,national resource information system	,國家資源資訊系統,,,
241,national signification number,全國顯著號碼,,,
242,national software works	,國家軟體工廠,,,
243,national space surveillance control center	,國家太空監視控制中心,,,
244,national standard,國家標準,,,
245,national standard reference data system	,國家標準參考資料系統,,,
246,national standards management board	,國家標準管理局,,,
247,national strategic target database	,國家戰略目標資料庫,,,
248,national technical information service	,全國技術資訊服務,,,
249,national telecommunications agency	,國家電信局,,,
250,national telecommunications and information administration	,國家電信資訊管理局,,,
251,national telecommunications conference	,全國電信會議,,,
252,national telephone company	,國家電話公司,,,
253,national telephone cooperative association	,全國電話合作協會,,,
254,national television system committee	,全國電視系統委員會,,,
255,national use graphic character,國家使用圖形字元,,,
256,national warning system	,全國警告系統,,,
257,national water data system	,全國水文資料系統,,,
258,national weather analysis center	,全國氣象分析中心,,,
259,nationwide service network,全國性服務網路,,,
260,native assembly language	,本機組合語言,,,
261,native character set,本機字元集,,,
262,native code,本機碼,,,
263,native code translator,本機碼譯碼器,,,
264,native collating sequence,原本對照順序,,,
265,native command name,本機命令名稱,,,
266,native compiler,本機編譯器,,,
267,native image,本機影像,,,
268,native language,本機語言；本國語言,母語 ,,
269,native mode,本機模式,,,
270,native view,本體觀點,,,
271,NATO integrated communication system	,北大西洋公約組織整合通信系統,,,
272,NATO integrated communications system management agency	,北大西洋公約組織整合通信系統管理署,,,
273,NATO integrated communications system organization	,北大西洋公約組織整合通信系統組織,,,
274,NATO joint communications－electronics committee	,北大西洋公約組織通信－電子聯合委員會,,,
275,natural binary,自然二進制,,,
276,natural binary code,自然二進制碼,,,
277,natural binary coded decimal	,自然二進制編碼的十進制數,,,
278,natural binary coded hexadecimal	,自然二進制編碼的十六進制數,,,
279,natural boundary,自然邊界,,,
280,natural boundary condition,自然邊界條件,,,
281,natural constraint,自然約束,,,
282,natural convection,自然對流,自然對流 ,,
283,natural convection cooling,自然對流冷卻,,,
284,natural deduction system,自然演繹系統,,,
285,natural deduction	,自然演繹,,,
286,natural dialogue,自然對話,,,
287,natural disorder,自然不規則,自然非序 ,,
288,natural dumping order,自然傾印次序,,,
289,natural electronic business users language	,自然電子商業用戶語言,,,
290,natural frequency of vibration,自振頻率,,,
291,natural frequency	,自然頻率,,,
292,natural function generator,自然函數產生器,,,
293,natural inference,自然推理,自然推理 ,,
294,natural join,自然結合,自然聯結 ,,
295,natural join system,自然結合系統,,,
296,natural language,自然語言,自然語言 ,,
297,natural language analysis,自然語言分析,,,
298,natural language application,自然語言應用,,,
299,natural language communication,自然語言通信,,,
300,natural language computer	,自然語言計算機,,,
301,natural language database	,自然語言資料庫,,,
302,natural language explanation,自然語言說明,,,
303,natural language generation,自然語言產生,自然語言生成 ,,
304,natural language information system,自然語言資訊系統,,,
305,natural language input,自然語言輸入,,,
306,natural language interface	,自然語言介面,,,
307,natural language operating system	,自然語言作業系統,,,
308,natural language processing,自然語言處理,自然語言處理 ,,
309,natural language processing system,自然語言處理系統,,,
310,natural language processors	,自然語言處理器,,,
311,natural language programming,自然語言程式設計,,,
312,natural language query,自然語言查詢,,,
313,natural language query system,自然語言查詢系統,,,
314,natural language software	,自然語言軟體,,,
315,natural language symbol string,自然語言符號串,,,
316,natural language system,自然語言系統,,,
317,natural language text,自然語言正文,,,
318,natural language translation,自然語言翻譯,,,
319,natural language understander,自然語言理解器,,,
320,natural language understanding,自然語言理解,自然語言理解 ,,
321,natural language understanding and translation,自然語言理解與翻譯,,,
322,natural law generator,自然定律產生器,,,
323,natural logarithm,自然對數,,,
324,natural loop,自然迴路,,,
325,natural merge sort,自然合併排序,,,
326,natural merging,自然合併,,,
327,natural modes,自然模,,,
328,natural number,自然數,,,
329,natural object,自然物件,自然景物 ,,
330,natural order,自然次序,自然序 ,,
331,natural order searching,自然次序搜尋,,,
332,natural ordering,自然定序,,,
333,natural representation,自然表示法,,,
334,natural scene,自然景物,自然景物 ,,
335,natural structure,自然結構,,,
336,natural texture,自然紋理,自然紋理 ,,
337,natural unit of information content,資訊內涵的自然單位,,,
338,natural weighted BCD number,自然加權二進位編碼十進位數,,,
339,NAU services,NAU服務,,,
340,NAU services manager layer,NAU服務管理層,,,
341,naval air logistics data analysis	,海軍航空兵後勤資料分析,,,
342,naval auxiliary communication center	,（美國）海軍輔助通信中心,,,
343,naval communication,海軍通信,,,
344,naval communication area master stations	,海軍通信區域主通信站,,,
345,naval communication processing and routing system,海軍通信處理與選路系統,,,
346,naval communications area,海軍通信區,,,
347,naval communications center	,海軍通信中心,,,
348,naval communications satellite,海軍通信衛星,,,
349,naval communications system	,海軍通信系統,,,
350,naval data transmission network	,海軍資料傳輸網路,,,
351,naval electronic system	,海軍電子系統,,,
352,naval electronics laboratory international algebra compiler	,海軍電子實驗室國際代數編譯器,,,
353,naval electronics laboratory	,海軍電子實驗室,,,
354,naval information center	,海軍資訊中心,,,
355,naval integrated command management information system	,海軍整合指揮管理資訊系統,,,
356,naval intelligence data network	,海軍智慧型數據網路,,,
357,naval intelligence processing system support active,海軍智慧型處理系統支援活動,,,
358,naval intelligence processing system support activity	,海軍情報處理系統支援活動,,,
359,naval intelligence processing system	,海軍智慧型處理系統,,,
360,naval operating system	,海軍（情報中心）操作系統,,,
361,naval ordnance research computer	,海軍軍械研究用計算機,,,
362,naval research electronic computer	,海軍研究用電子計算機,,,
363,naval space surveillance system	,海軍太空監視系統,,,
364,naval tactical computer system	,海軍戰術計算機系統,,,
365,naval tactical data system	,海軍戰術資料系統,,,
366,naval telecommunications system	,海軍電信系統,,,
367,navigation,導航,導航 ,,
368,navigation communication satellite,導航通信衛星,,,
369,navigation computer control	,導航計算機控制,,,
370,navigation computer unit	,導航計算機裝置,,,
371,navigation computer	,導航電腦,,,
372,navigation control simulator	,導航控制模擬器,,,
373,navigation data assimilation computer	,導航資料同化計算機,,,
374,navigation display system	,導航顯示系統,,,
375,navigation equipment capability analysis program	,導航設備能力分析程式,,,
376,navigation map computer	,導航地圖計算機,,,
377,navigation operational checkout computer	,導航作業檢驗計算機,,,
378,navigation route database,導航路線資料庫,,,
379,navigation satellite timing and ranging	,導航衛星計時與測距,,,
380,navigational access method,導航存取法,,,
381,navigational computer,導航計算機,,,
382,navigational digital computer	,導航數位計算機,,,
383,navy automated research and development information system	,海軍自動化研究與發展信息系統,,,
384,navy command and control system	,海軍指揮與控制系統,,,
385,navy display system	,海軍顯示系統,,,
386,navy electronic laboratory operating system	,海軍電子實驗室作業系統,,,
387,Navy Electronics Laboratory International Algorithmic Compiler,NELIAC語言,NELIAC語言 ,,
388,navy environment protecting database	,海軍環境保護資料庫,,,
389,navy laboratory computer network	,海軍實驗室計算機網路,,,
390,navy navigation satellite system	,海軍導航衛星系統,,,
391,navy numerical weather prediction	,海軍數值氣象預測,,,
392,navy programming language division	,海軍程式設計語言部門,,,
393,Navy Tactical Data System	,海軍戰術資料系統,,,
394,navy technical information program	,海軍技術資訊程式,,,
395,navy's worldwide environmental data network	,海軍全球環境數據網,,,
396,n-base binary logic,n基數二進邏輯,,,
397,n-best forward pruning,n最佳正向修剪,,,
398,n-bit byte,n位元位元組,n位元位元組,,
399,n-bit byte,n比位元組,,,
400,n-bit character,n比字元,,,
401,N-body problem,N體問題,N體問題 ,,
402,NC,網路電腦,網絡計算機 ,,
403,n-channel circuit,n通道電路,,,
404,n-channel metal-oxide-semiconductor memory,n通道金氧半導體記憶體,,,
405,n-channel metal-oxide-semiconductor package,n通道金氧半導體組件,,,
406,n-channel metal-oxide-semiconductor	,n通道金氧半導體；n通道金屬－氧化物－半導體,,,
407,n-channel silicon JFET,n通道矽JFET,,,
408,n-channel silicon planar,n通道矽平面,,,
409,n-channel silicon planar epitaxial JFET,n通道矽平面外延JFET,,,
410,n-channel transistor,n通道電晶體,,,
411,n-connection,n連接,,,
412,N-core per bit storage,每位元儲存體n磁芯數,,,
413,n-core-per-bit,每比n磁芯,,,
414,n-core-per-bit storage,每比n磁芯儲存,,,
415,NCR form,NCR格式,,,
416,NCR's applied COBOL packages	,NCR應用的COBOL程式包,,,
417,NCS,數值控制系統；數控系統,數控系統 ,,
418,n-cube,n方體,,,
419,n-cube network,n方體網路,n立方體網 ,,
420,N-dense,n密度,N稠密性 ,,
421,n-density,n密度,,,
422,n-digit product register,n位乘積暫存器,,,
423,n-dimensional array,n維陣列,,,
424,NDIS,網路驅動器介面規格,網絡驅動程序接口規范 ,,
425,NE,網路單元,網[絡單]元 ,,
426,near end crosstalk attenuation,近端串音衰減,,,
427,near end crosstalk loss,近端串音損耗,,,
428,near end crosstalk	,近端交叉通話；近端串音,,,
429,near end operated terminal,近端操作終端,,,
430,near end signal,近端信號,,,
431,near label,鄰近標號,,,
432,near letter quality	,近鉛字品質；近字母品質,近似印刷體質量,,
433,near line,近線,近線 ,,
434,near neighbor mesh network,近鄰網格形網路,,,
435,near optimal grouping,近似最佳分組,,,
436,near real-time	,近即時,,,
437,near term work-load,近期工作負載,,,
438,near video on demand,近隨選視訊,准點播電視 ,,
439,nearby bucket,鄰近儲存桶,,,
440,near-end coupled noise,近端耦合雜訊,近端耦合噪聲 ,,
441,nearest neighbor,最近相鄰者,,,
442,nearest neighbor classification,最近鄰域分類（法）,,,
443,nearest neighbor classifier,最近鄰域集群,,,
444,nearest neighbor pattern classification,最近鄰域型樣分類,,,
445,nearest neighbor search,最近鄰域搜尋,鄰近查找, *鄰近搜索 ,,
446,near-letter quality,近鉛字品質；近字母品質,准鉛字質量 ,,
447,near-real-time signal processing,近即時信號處理,,,
448,neat 3 to COBOL language	,neat/3－COBOL語言,,,
449,NEC on-line software system	,日本電氣公司連線軟體系統,,,
450,necessary and sufficient condition,必要及充分條件,,,
451,necessary bandwidth,必要頻寬,,,
452,necessary condition,必要條件,,,
453,necessary environment,必要環境,,,
454,needing forecasting method,需求預測方法,,,
455,needle,針,,,
456,needle printer,針式列印機,,,
457,needles per inch	,每英寸針數；針數／英寸,,,
458,need-to-know,需知道,按需知密 ,,
459,negate,否定,,,
460,negate instruction,否定指令,,,
461,negated combined condition,否定組合條件,,,
462,negated condition,否定條件,,,
463,negated simple condition,否定簡單條件,,,
464,negation,非；負；否定,,,
465,negation element,負元件,,,
466,negation gate,負閘,,,
467,negative (A ignore B) gate,負（A略B）閘,,,
468,negative (A implies B) gate,負（A蘊含B）閘,,,
469,negative acknowledge character	,負確認字元；反確認字元,,,
470,negative acknowledge	,否認；負確認字元,,,
471,negative acknowledgement,負認可,否認 ,,
472,negative acknowledgment	,否定應答,,,
473,negative A-ignore-B,反A無關B,,,
474,negative A-implies-B,反A蘊含B,,,
475,negative AND gate,負及閘,,,
476,negative answer,否定回答,,,
477,negative argument,負引數,,,
478,negative authorization terminal system	,非授權終端系統,,,
479,negative availability,負可用性,,,
480,negative balance,負平衡,,,
481,negative base number,負基數,,,
482,negative BCD data,負二進制編十進制資料,,,
483,negative bias,負偏壓,,,
484,negative binary number,負二進數,,,
485,negative binary zero,負二進制零,,,
486,negative carry,負進位,,,
487,negative clause,負子句,,,
488,negative conductance,負傳導,,,
489,negative conductor,負導體,,,
490,negative crystal,負晶體,,,
491,negative development,負定像,,,
492,negative dictionary,非用詞詞典,,,
493,negative direction,逆向；反方向,,,
494,negative disclosure,否定洩密,,,
495,negative edge,負邊緣,負沿 ,,
496,negative entry,負登錄；負值進入,,,
497,negative example,反例,反例 ,,
498,negative feedback circuit	,負回饋電路,,,
499,negative feedback	,負回饋,,,
500,negative flag,負旗標,,,
501,negative going transition,負向變遷,,,
502,negative ignore gate,負略閘,,,
503,negative image,負影像,,,
504,negative impedance,負阻抗,,,
505,negative impedance boosting	,負阻抗激增,,,
506,negative impedance region,負阻抗區域,,,
507,negative incidence,負入射,,,
508,negative indication,負指示；負值指示,,,
509,negative information sequence,負資訊序列,,,
510,negative input value,負輸入值,,,
511,negative justification,負對齊,,,
512,negative logic,負邏輯,,,
513,negative logic level	,負邏輯階,,,
514,negative logic-transition,負邏輯變遷,負邏輯轉換 ,,
515,negative modulation,負調變,,,
516,negative negabinary carry-look-ahead adder	,負的負二進制進位預看加法器,,,
517,negative number,負數,,,
518,negative number representation,負數表示法,,,
519,negative operation concept	,負運算概念,,,
520,negative OR circuit,負或電路,,,
521,negative OR gate,負或閘,,,
522,negative OR operation,負或運算,,,
523,negative output,負輸出,,,
524,negative polling limit,否定輪詢極限,,,
525,negative positive process,負正處理,,,
526,negative positive	,負正,,,
527,negative pressure slider	,負壓力浮動塊,,,
528,negative pulse,負脈衝,,,
529,negative reception	,負接收,,,
530,negative resistance device,負電阻裝置,,,
531,negative resistance oscillation	,負電阻振盪,,,
532,negative response,否定回應,,,
533,negative sign,負號,,,
534,negative supply voltage	,負供應電壓,,,
535,negative transpose,負轉置,,,
536,negative true logic,負－真邏輯,,,
537,negative writing,負寫入,,,
538,negative	,非；負,,,
539,negative-positive-zero	,負－正－零,,,
540,negator,負元件,,,
541,negentropy,負熵,,,
542,neglected language program	,被忽略的語言程式,,,
543,negotiable BIND,可協商BIND,,,
544,negotiated contract,協商合約,,,
545,negotiated contract price,協商合約價格,,,
546,negotiated prices,協商價格,,,
547,negotiation,協商,協商 ,,
548,negotiation support system,協商支援系統,談判支持系統 ,,
549,neighbor,鄰,近鄰 ,,
550,neighbor node,相鄰節點,,,
551,neighbor node address	,相鄰節點位址,,,
552,neighbor notification,鄰通知,鄰站通知 ,,
553,neighbor table	,鄰近表,,,
554,neighborhood,鄰域,鄰域 ,,
555,neighborhood averaging,鄰域平均,,,
556,neighborhood classification rule,鄰域分類規則,鄰域分類規則 ,,
557,neighborhood effect,鄰域效應,,,
558,neighborhood matching logic	,鄰域匹配邏輯,,,
559,neighborhood operation,鄰域操作,鄰域運算 ,,
560,neighboring entry,相鄰項,,,
561,neighboring vertices,相鄰頂點,,,
562,neighbour preserving contiguous set,保持相鄰的連接集,,,
563,neighbourhood averaging,鄰近平均,,,
564,neither nor operation,均非運算,,,
565,neither-NOR gate,均非閘,,,
566,NELIAC,NELIAC語言,NELIAC語言 ,,
567,Nell wall,內爾壁；Nell壁,,,
568,n-entity,n實體,,,
569,n-entity net,n實體網,,,
570,neo modern,最新式；更現代化的,,,
571,neocognitron,新認知機,新認知機 ,,
572,neogenesis,新生；再生,,,
573,neon lamp,霓虹燈；氖燈,,,
574,neper,納；訥；奈培,,,
575,nervous system,神經系統,,,
576,nesistor,雙極場效應電晶體,,,
577,nest,巢,嵌套 ,,
578,nest cell,巢套格,,,
579,nest relation,巢套關係,,,
580,nested,巢套,,,
581,nested address space,巢套位址空間,,,
582,nested assignment statement,巢套指定敘述,,,
583,nested association list,巢套結合串列,,,
584,nested binding,巢套連結,,,
585,nested block,巢套塊,,,
586,nested block IF statement,巢套塊IF敘述,,,
587,nested cell,巢套格,,,
588,nested command,巢套命令,,,
589,nested command list,巢套命令列表,,,
590,nested condition statement,巢套條件敘述,,,
591,nested conditional directive,巢套條件指引,,,
592,nested conditional instruction,巢套條件指令,,,
593,nested critical section,巢套臨界區段,,,
594,nested DO,巢套DO,,,
595,nested DO group,巢套DO群,,,
596,nested DO loops,巢套DO迴路,,,
597,nested ELSE clause,巢套ELSE子句,,,
598,nested environment,巢套環境,,,
599,nested file transfer format,巢套檔案傳送格式,,,
600,nested function,巢套函數,,,
601,nested interrupt,巢套中斷,嵌套中斷 ,,
602,nested language,巢套語言,,,
603,nested loop,巢套迴路,嵌套循環 ,,
604,nested loop method,巢套迴路法,嵌套循環法 ,,
605,nested loop nesting,巢套循環,,,
606,nested loop structure,巢套迴路結構,,,
607,nested macro call,巢套巨集呼叫,,,
608,nested macro structure,巢套巨集結構,,,
609,nested macros,巢套巨集指令,,,
610,nested monitor,巢套監視器,,,
611,nested monitor call,巢套監視器呼叫,,,
612,nested multiplication method,巢套乘法,,,
613,nested normal form,巢套正規格式,,,
614,nested operation,巢套運算,,,
615,nested order,巢套次序,,,
616,nested parenthesis,巢套括號,,,
617,nested phrase index,巢套詞組索引,,,
618,nested phrase indexing system	,巢套詞組索引系統,,,
619,nested polynomial evaluation,巢套多項式求值,,,
620,nested primitive programming language	,巢套原始程式設計語言,,,
621,nested procedure,巢套程序,,,
622,nested procedure structure,巢套程序結構,,,
623,nested program structure,巢套程式結構,,,
624,nested query,巢套查詢,,,
625,nested record variant,巢套記錄變體,,,
626,nested redeclaration,巢套重新宣告,,,
627,nested routine,巢套常式,,,
628,nested scope,巢套範疇,,,
629,nested sequence,巢套序列,,,
630,nested set of queries,巢套檢索集,,,
631,nested sets,巢套集合,,,
632,nested sign on,巢套登入,,,
633,nested stack automaton,巢套堆疊自動機,,,
634,nested statement,巢套敘述,,,
635,nested statement structure,巢套敘述結構,,,
636,nested subprogram definition,巢套次程式定義,,,
637,nested subroutine,巢套次常式,,,
638,nested transaction,巢套異動,嵌套事務 ,,
639,nested transaction mechanism,巢套異動機構,,,
640,nested variant,巢套變體,,,
641,nested-if structure,巢套IF結構,,,
642,nestification,巢狀；疊加,,,
643,nesting,巢套,,,
644,nesting block,巢套段,,,
645,nesting environment,巢套環境,,,
646,nesting error,巢套錯誤,,,
647,nesting indirect command file,巢套間接命令檔案,,,
648,nesting level,巢套層次,,,
649,nesting level complexity,巢套層次複雜性,,,
650,nesting loop,巢套迴路,,,
651,nesting or recursive structure,巢套或遞迴結構,,,
652,nesting storage,巢套儲存；巢套儲存器,,,
653,nesting storage types,巢套儲存類型,,,
654,nesting store,巢套儲存,,,
655,nesting structure,巢套結構,,,
656,net,網,網 ,,
657,net address,網路位址,網絡地址 ,,
658,net boundary,網路邊界,,,
659,net change,淨變化,,,
660,net change planning,網路變更規劃,,,
661,net commander-in-chief	,網路負責人,,,
662,net composition,網路合成,網合成 ,,
663,net control group	,網路控制組,,,
